Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Average calibration accuracy (pixels)	Average calibration precision SD (pixels)	Average calibration precision RMS (pixels)	Average validation accuracy (mm)	Average validation precision SD (mm)	Average validation precision RMS (mm)	Average validation accuracy (degrees)	Average validation precision SD (degrees)	Average validation precision RMS (degrees)	Average validation accuracy (pixels)	Average validation precision SD (pixels)	Average validation precision RMS (pixels)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Presented Stimulus name	Presented Media name	Presented Media width	Presented Media height	Presented Media position X (DACSpx)	Presented Media position Y (DACSpx)	Original Media width	Original Media height	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	Client area position X (DACSpx)	Client area position Y (DACSpx)	Viewport position X	Viewport position Y	Viewport width	Viewport height	Full page width	Full page height	Mouse position X	Mouse position Y
0	4077979634		Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9		RecordingStart																																																										
108	4077979742		Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9		Eye tracker TTL in	255																																									EyesNotFound	183	1														
108	4077979742	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368283752																	Invalid	Invalid																									EyesNotFound	183	1														
125	4077979759	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368300418																	Invalid	Invalid																									EyesNotFound	183	1														
142	4077979776	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368317085																	Invalid	Invalid																									EyesNotFound	183	1														
158	4077979792	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368333752																	Invalid	Invalid																									EyesNotFound	183	1														
175	4077979809	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368350418																	Invalid	Invalid																									EyesNotFound	183	1														
192	4077979826	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368367085																	Invalid	Invalid																									EyesNotFound	183	1														
208	4077979842	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368383752																	Invalid	Invalid																									EyesNotFound	183	1														
225	4077979859	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368400418																	Invalid	Invalid																									EyesNotFound	183	1														
242	4077979876	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368417084																	Invalid	Invalid																									EyesNotFound	183	1														
258	4077979892	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368433750																	Invalid	Invalid																									EyesNotFound	183	1														
275	4077979909	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368450416																	Invalid	Invalid																									EyesNotFound	183	1														
292	4077979926	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368467084			762	337	769	300	755	374	-0.04168	-0.04145	-0.99827	-0.15009	-0.01196	-0.98860	4.00	4.02	Valid	Valid	236.0	107.1	590.9	297.4	110.1	590.6	211.4	82.5	207.7	102.9															Saccade	67	1														
308	4077979942	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368483751			776	376	787	344	764	408	-0.03321	-0.02155	-0.99922	-0.14634	0.00356	-0.98923	3.98	4.01	Valid	Valid	236.2	107.3	590.6	297.5	110.1	590.9	216.6	94.6	210.1	112.2															Saccade	67	1														
325	4077979959	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368500418			874	558	893	543	855	573	0.01517	0.07053	-0.99739	-0.10447	0.07894	-0.99139	3.98	3.99	Valid	Valid	236.6	107.6	590.8	297.6	110.4	591.2	245.6	149.4	235.3	157.5															Saccade	67	1														
342	4077979976	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368517085			933	663	949	646	917	681	0.04047	0.11718	-0.99229	-0.07618	0.12859	-0.98877	3.96	3.97	Valid	Valid	236.8	107.7	591.0	297.6	110.5	591.2	260.9	177.5	252.1	187.4															Saccade	67	1														
358	4077979992	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368533751			937	659	953	647	921	671	0.04259	0.11759	-0.99215	-0.07456	0.12384	-0.98950	3.93	3.94	Valid	Valid	236.6	107.9	590.9	297.7	110.5	591.3	261.9	177.9	253.2	184.5															Fixation	217	1	935	652												
375	4077980009	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368550418			934	656	950	642	917	670	0.04164	0.11498	-0.99249	-0.07598	0.12315	-0.98947	3.92	3.93	Valid	Valid	236.5	108.0	590.8	297.7	110.5	591.3	261.3	176.4	252.3	184.1															Fixation	217	1	935	652												
392	4077980026	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368567085			936	652	955	640	917	665	0.04415	0.11424	-0.99247	-0.07604	0.12095	-0.98974	3.92	3.92	Valid	Valid	236.4	108.0	590.8	297.6	110.5	591.2	262.7	176.0	252.2	182.8															Fixation	217	1	935	652												
408	4077980042	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368583751			935	655	953	642	916	668	0.04329	0.11520	-0.99240	-0.07642	0.12250	-0.98952	3.90	3.91	Valid	Valid	236.3	108.0	590.8	297.6	110.5	591.1	262.1	176.6	251.9	183.7															Fixation	217	1	935	652												
425	4077980059	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368600418			932	655	951	646	913	664	0.04225	0.11676	-0.99226	-0.07770	0.12088	-0.98962	3.90	3.91	Valid	Valid	236.3	108.0	590.9	297.6	110.5	591.1	261.4	177.6	251.1	182.7															Fixation	217	1	935	652												
442	4077980076	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368617085			937	650	956	635	918	664	0.04481	0.11168	-0.99273	-0.07565	0.12090	-0.98978	3.90	3.91	Valid	Valid	236.2	108.1	590.8	297.5	110.5	591.1	262.8	174.6	252.3	182.7															Fixation	217	1	935	652												
458	4077980092	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368633751			936	653	955	643	916	664	0.04469	0.11505	-0.99235	-0.07655	0.12078	-0.98972	3.90	3.92	Valid	Valid	236.1	108.2	590.9	297.5	110.6	591.1	262.7	176.7	251.8	182.7															Fixation	217	1	935	652												
475	4077980109	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368650418			936	653	955	641	917	665	0.04459	0.11437	-0.99244	-0.07605	0.12102	-0.98973	3.91	3.92	Valid	Valid	236.1	108.2	591.0	297.5	110.6	591.1	262.7	176.3	252.1	182.9															Fixation	217	1	935	652												
492	4077980126	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368667085			936	652	958	641	914	662	0.04588	0.11417	-0.99240	-0.07733	0.11987	-0.98977	3.91	3.93	Valid	Valid	236.1	108.2	591.0	297.5	110.6	591.3	263.5	176.2	251.3	182.2															Fixation	217	1	935	652												
508	4077980142	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368683751			933	653	953	642	913	664	0.04342	0.11480	-0.99244	-0.07781	0.12060	-0.98965	3.91	3.94	Valid	Valid	236.2	108.2	591.2	297.6	110.5	591.4	262.0	176.6	251.1	182.6															Fixation	217	1	935	652												
525	4077980159	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368700418			934	653	954	642	915	664	0.04372	0.11498	-0.99240	-0.07708	0.12074	-0.98969	3.91	3.95	Valid	Valid	236.2	108.1	591.5	297.6	110.5	591.5	262.2	176.7	251.5	182.7															Fixation	217	1	935	652												
542	4077980176	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368717085			935	649	954	633	915	665	0.04389	0.11074	-0.99288	-0.07700	0.12087	-0.98968	3.92	3.96	Valid	Valid	236.2	108.2	591.4	297.7	110.5	591.7	262.4	174.2	251.6	182.8															Fixation	217	1	935	652												
558	4077980192	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368733751			931	631	942	617	920	645	0.03817	0.10367	-0.99388	-0.07468	0.11239	-0.99085	3.93	3.99	Valid	Valid	236.3	108.1	591.6	297.7	110.3	592.1	259.0	169.8	253.0	177.5															Fixation	217	1	935	652												
575	4077980209	Eye Tracker	Literacy-Demo	28.10.2025	Participant2	Recording2	27.10.2025	27.10.2025	14:20:28.937	13:20:28.937	69274	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	1.5	3.8	4.4	0.07	0.35	0.42	5	14	16	8.9	2.6	2.4	0.84	0.25	0.23	32	10	9	368750418			936	550	949	534	923	566	0.04158	0.06576	-0.99697	-0.07367	0.07637	-0.99435	3.95	4.01	Valid	Valid	236.3	107.9	591.9	297.6	110.3	591.8	261.0	146.9	253.7	155.7															Saccade	33	2														
